 SDSS J034038.74-002944.8   7859.   20.   8.99  .03   1.191  .013   4026.   116.  1.152E-04  5.49E-06
 SDSS J025129.09+002749.3   7874.   77.   8.94  .07   1.168  .033   4222.   281.  1.276E-04  1.20E-05
 SDSS J104411.38+021436.7   7889.   27.   8.98  .03   1.186  .014   4066.   117.  1.192E-04  5.25E-06
 SDSS J230338.10-000847.3   7894.   98.   8.61  .20    .983  .125   5660.   943.  2.316E-04  6.57E-05
 SDSS J212146.81-073106.8   7905.   84.   8.71  .20   1.044  .117   5199.   905.  1.965E-04  6.01E-05
 SDSS J140115.18+004402.9   7908.   73.   8.37  .18    .826  .121   6837.   915.  3.405E-04  7.85E-05
 SDSS J021645.57-075547.2   7922.   88.   8.56  .20    .951  .128   5897.   960.  2.550E-04  7.17E-05
 SDSS J032404.31-061756.7   7927.   46.   8.86  .11   1.128  .056   4548.   463.  1.521E-04  2.74E-05
 SDSS J034038.15-074011.0   7940.   61.   8.96  .05   1.177  .023   4141.   198.  1.269E-04  8.25E-06
 SDSS J130422.65+012214.2   7941.   91.   8.45  .19    .879  .127   6435.   944.  3.066E-04  7.59E-05
 SDSS J095934.25+025738.3   7946.   46.   8.69  .11   1.032  .065   5289.   502.  2.077E-04  3.46E-05
 SDSS J091341.04+011240.3   7963.   40.   8.99  .02   1.191  .009   4026.    78.  1.214E-04  2.24E-06
 SDSS J130506.13+021644.8   7963.   65.   8.91  .10   1.153  .048   4342.   409.  1.411E-04  2.20E-05
 SDSS J131644.88-031638.3   7966.   65.   8.87  .12   1.133  .061   4508.   502.  1.524E-04  2.89E-05
 SDSS J030941.46+005259.5   7973.   68.   8.89  .11   1.143  .055   4425.   455.  1.473E-04  2.53E-05
 SDSS J144934.73+025502.6   7978.   82.   8.98  .03   1.186  .014   4066.   117.  1.247E-04  2.06E-06
 SDSS J133114.21+623851.4   7982.  106.   7.61  .31    .384  .139  11188.  1972.  9.462E-04  2.83E-04
 SDSS J083723.49+510058.4   8004.   38.   8.82  .10   1.106  .053   4718.   429.  1.701E-04  2.77E-05
 SDSS J092834.59-005121.6   8008.   52.   8.93  .08   1.163  .038   4263.   323.  1.392E-04  1.75E-05
 SDSS J091325.66+013145.0   8032.  116.   8.41  .28    .852  .188   6635.  1406.  3.412E-04  1.25E-04
 SDSS J015123.77+125718.8   8042.  103.   8.69  .21   1.032  .125   5290.   959.  2.179E-04  6.78E-05
 SDSS J024052.12-083826.7   8043.   81.   8.63  .20    .996  .124   5566.   936.  2.414E-04  7.14E-05
 SDSS J135450.21-005149.1   8043.   19.   9.00  .00   1.195  .000   3986.     0.  1.238E-04  1.17E-06
 SDSS J004916.16-094624.6   8070.   62.   8.55  .13    .945  .084   5946.   626.  2.792E-04  5.02E-05
 SDSS J080743.57+442148.0   8074.   56.   8.76  .12   1.073  .068   4976.   530.  1.959E-04  3.63E-05
 SDSS J074740.29+402449.1   8111.  101.   8.84  .15   1.117  .078   4633.   638.  1.730E-04  3.90E-05
 SDSS J091141.55+012448.1   8121.  174.   8.31  .33    .786  .222   7148.  1705.  4.138E-04  1.62E-04
 SDSS J173043.63+591429.0   8122.  148.   8.66  .26   1.014  .158   5427.  1202.  2.387E-04  8.83E-05
 SDSS J080200.54+465550.1   8124.   43.   8.56  .08    .951  .051   5898.   384.  2.821E-04  3.08E-05
 SDSS J132340.35+003338.7   8125.   50.   8.95  .06   1.173  .028   4181.   239.  1.419E-04  1.28E-05
 SDSS J171850.36+590827.2   8128.   88.   8.58  .20    .964  .127   5803.   954.  2.736E-04  7.81E-05
 SDSS J093857.71+015321.1   8136.   87.   8.29  .18    .772  .121   7252.   934.  4.291E-04  9.22E-05
 SDSS J081125.71+440944.7   8146.   68.   8.28  .16    .766  .108   7304.   832.  4.374E-04  8.51E-05
 SDSS J005436.05-004941.7   8149.   29.   8.99  .02   1.191  .009   4026.    78.  1.331E-04  3.24E-06
 SDSS J153035.39+023538.1   8157.   20.   8.98  .03   1.186  .014   4066.   117.  1.363E-04  6.53E-06
 SDSS J101206.89+022003.1   8161.  136.   8.47  .26    .893  .173   6336.  1284.  3.316E-04  1.12E-04
 SDSS J215132.57-071914.9   8163.   53.   8.46  .09    .886  .060   6386.   446.  3.372E-04  3.83E-05
 SDSS J141804.68+040821.8   8166.   32.   9.00  .01   1.195  .004   3986.    38.  1.316E-04  4.78E-07
 SDSS J074005.20+380034.1   8170.  158.   8.85  .15   1.123  .078   4590.   634.  1.748E-04  3.48E-05
 SDSS J022304.98-092223.1   8171.   78.   8.87  .13   1.133  .066   4508.   544.  1.687E-04  3.42E-05
 SDSS J093940.09+011301.4   8173.  179.   8.60  .34    .977  .214   5708.  1609.  2.707E-04  1.29E-04
 SDSS J094716.51+024150.5   8188.   47.   8.76  .11   1.073  .062   4976.   486.  2.073E-04  3.57E-05
 SDSS J020229.64-091657.7   8190.   37.   8.70  .09   1.038  .053   5245.   409.  2.305E-04  3.18E-05
 SDSS J022920.85-081003.6   8195.   45.   8.52  .08    .926  .052   6091.   389.  3.116E-04  3.29E-05
 SDSS J161257.84+524145.7   8195.   65.   8.58  .13    .964  .083   5803.   620.  2.828E-04  5.15E-05
 SDSS J124959.11-005101.9   8199.   71.   8.36  .16    .819  .108   6890.   815.  3.995E-04  8.07E-05
 SDSS J095759.16-010707.3   8200.   32.   8.70  .07   1.038  .041   5245.   318.  2.316E-04  2.45E-05
 SDSS J170703.99+641334.1   8200.   39.   8.61  .08    .983  .050   5661.   377.  2.698E-04  3.08E-05
 SDSS J013532.97+144556.0   8206.   24.   8.35  .05    .813  .034   6942.   256.  4.069E-04  2.52E-05
 SDSS J094553.60-003504.2   8211.   83.   8.82  .14   1.107  .075   4718.   601.  1.884E-04  4.04E-05
 SDSS J020716.81+134744.4   8216.   60.   8.41  .11    .853  .074   6636.   553.  3.737E-04  5.13E-05
 SDSS J032755.79-063605.8   8222.   31.   8.92  .07   1.158  .034   4303.   285.  1.576E-04  1.85E-05
 SDSS J024350.05-005000.7   8225.   63.   8.70  .13   1.038  .077   5245.   591.  2.344E-04  4.57E-05
 SDSS J084900.16+010420.9   8231.   74.   8.67  .15   1.020  .090   5382.   691.  2.476E-04  5.47E-05
 SDSS J095433.46+592914.4   8231.  128.   8.48  .25    .899  .165   6287.  1232.  3.379E-04  1.11E-04
 SDSS J092723.97+002847.7   8234.   71.   8.95  .06   1.173  .028   4181.   239.  1.496E-04  1.20E-05
 SDSS J172523.00+620936.9   8234.   28.   8.56  .05    .952  .032   5898.   240.  2.978E-04  2.02E-05
 SDSS J030632.08-063854.4   8235.   34.   8.95  .06   1.173  .028   4181.   239.  1.497E-04  1.47E-05
 SDSS J122155.83+665539.0   8235.   47.   8.45  .10    .879  .067   6436.   497.  3.547E-04  4.67E-05
 SDSS J073452.86+380301.6   8249.   49.   8.96  .05   1.178  .023   4142.   198.  1.479E-04  1.06E-05
 SDSS J144244.19+002714.8   8254.   31.   9.00  .01   1.195  .004   3986.    38.  1.374E-04  5.89E-07
 SDSS J032443.00-002956.3   8258.   32.   8.48  .06    .899  .040   6288.   296.  3.424E-04  2.69E-05
 SDSS J163854.24+413456.3   8270.   77.   8.85  .12   1.123  .062   4590.   508.  1.836E-04  3.38E-05
 SDSS J143047.92+043838.6   8306.   25.   8.63  .04    .996  .025   5567.   187.  2.747E-04  1.52E-05
 SDSS J235517.45-104007.4   8309.   78.   8.62  .17    .990  .106   5614.   799.  2.798E-04  6.91E-05
 SDSS J155746.95+541655.4   8311.   69.   8.40  .15    .846  .101   6687.   756.  3.973E-04  7.66E-05
 SDSS J085309.10+563441.5   8333.   92.   8.31  .21    .786  .141   7149.  1086.  4.589E-04  1.19E-04
 SDSS J125357.87-005443.0   8335.   96.   8.51  .21    .919  .138   6141.  1025.  3.389E-04  9.75E-05
 SDSS J002556.91-093231.2   8340.   79.   8.78  .14   1.085  .078   4889.   612.  2.153E-04  4.58E-05
 SDSS J133947.74-002003.6   8349.   35.   8.75  .08   1.068  .046   5021.   355.  2.281E-04  2.84E-05
 SDSS J141448.25+021257.8   8355.   40.   8.55  .07    .945  .045   5947.   337.  3.209E-04  3.03E-05
 SDSS J091942.38-000534.1   8357.  170.   7.88  .50    .519  .283   9528.  2889.  8.246E-04  4.33E-04
 SDSS J085252.86+514246.7   8364.   33.   8.09  .07    .643  .045   8330.   382.  6.323E-04  4.81E-05
 SDSS J020647.67+134013.4   8369.  104.   8.25  .23    .746  .154   7464.  1207.  5.089E-04  1.39E-04
 SDSS J144643.42+020254.8   8371.  110.   8.32  .20    .793  .135   7098.  1032.  4.606E-04  1.10E-04
 SDSS J150132.86+023637.5   8372.   78.   8.43  .16    .866  .107   6536.   800.  3.909E-04  8.11E-05
 SDSS J012634.43-084038.6   8375.   36.   8.57  .06    .958  .038   5851.   287.  3.136E-04  2.54E-05
 SDSS J095648.55+020205.6   8380.  100.   8.19  .20    .707  .132   7784.  1065.  5.564E-04  1.26E-04
 SDSS J085418.67+014451.3   8382.   61.   8.60  .14    .977  .088   5709.   663.  2.995E-04  6.09E-05
 SDSS J231229.94+011332.9   8393.   95.   8.56  .23    .952  .147   5899.  1105.  3.215E-04  1.06E-04
 SDSS J161452.94+001632.5   8394.   67.   8.16  .15    .688  .098   7947.   806.  5.838E-04  9.98E-05
 SDSS J130842.43+013445.7   8401.   25.   8.53  .04    .932  .026   6043.   194.  3.388E-04  1.77E-05
 SDSS J083521.13+475843.3   8407.   36.   8.96  .05   1.178  .023   4142.   198.  1.596E-04  1.25E-05
 SDSS J090841.46+505557.1   8408.   48.   8.52  .08    .926  .052   6092.   389.  3.454E-04  3.62E-05
 SDSS J102546.72+002857.4   8417.   31.   8.58  .05    .965  .032   5804.   239.  3.148E-04  2.13E-05
 SDSS J014342.45+131013.6   8418.   20.   8.58  .03    .965  .019   5804.   143.  3.150E-04  1.25E-05
 SDSS J014438.68-011317.8   8421.   73.   8.70  .13   1.039  .077   5245.   592.  2.576E-04  4.92E-05
 SDSS J093635.07+602128.5   8421.   35.   8.52  .06    .926  .039   6092.   292.  3.476E-04  2.75E-05
 SDSS J080536.42+482129.7   8422.   49.   8.98  .03   1.186  .014   4066.   117.  1.549E-04  5.33E-06
 SDSS J231955.36+004730.6   8444.   69.   8.73  .13   1.056  .075   5110.   583.  2.472E-04  4.83E-05
 SDSS J211507.40-074151.6   8446.   31.   8.73  .06   1.056  .035   5110.   269.  2.474E-04  2.24E-05
 SDSS J232554.36-093622.3   8448.   35.   8.42  .07    .860  .047   6587.   351.  4.116E-04  3.71E-05
 SDSS J022335.16+004954.9   8455.   94.   8.91  .10   1.154  .048   4342.   409.  1.794E-04  2.58E-05
